model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
meta-llama/Llama-3.2-3B,ema_lr1e-3,0,age_bin,0.34471,0.33262,,,,True
meta-llama/Llama-3.2-3B,ema_lr5e-3,0,age_bin,0.34025,0.33186,,,,True
meta-llama/Llama-3.2-3B,ema_lr1e-2,0,age_bin,0.32846,0.32813,,,,True
meta-llama/Llama-3.2-3B,ema_lr5e-2,0,age_bin,0.37973,0.36671,,,,True
meta-llama/Llama-3.2-3B,ema_lr1e-2_wd1e-3,0,age_bin,0.37187,0.36788,,,,True
meta-llama/Llama-3.2-3B,ema_d0.99,0,age_bin,0.36042,0.35935,,,,True
meta-llama/Llama-3.2-3B,ema_d0.9999,0,age_bin,0.34818,0.34535,,,,True
meta-llama/Llama-3.2-3B,mlp_h16,0,age_bin,0.3388,0.23232,,,,True
meta-llama/Llama-3.2-3B,mlp_h32,0,age_bin,0.34214,0.24089,,,,True
meta-llama/Llama-3.2-3B,mlp_h64,0,age_bin,0.33333,0.22061,,,,True
meta-llama/Llama-3.2-3B,mlp_h128,0,age_bin,0.33484,0.22374,,,,True
meta-llama/Llama-3.2-3B,attention,0,age_bin,0.33333,0.22061,,,,True
meta-llama/Llama-3.2-3B,shuffled,0,age_bin,0.33579,0.33371,,,,True
meta-llama/Llama-3.2-3B,mm,0,age_bin,0.39346,0.38197,,,,True
meta-llama/Llama-3.2-3B,ridge_0.01,0,age_bin,0.33932,0.23337,,,,True
meta-llama/Llama-3.2-3B,ridge_0.1,0,age_bin,0.33833,0.23105,,,,False
meta-llama/Llama-3.2-3B,ridge_1.0,0,age_bin,0.33333,0.22061,,,,False
meta-llama/Llama-3.2-3B,ridge_10.0,0,age_bin,0.33333,0.22061,,,,False
meta-llama/Llama-3.2-3B,ridge_100.0,0,age_bin,0.33333,0.22061,,,,False
meta-llama/Llama-3.2-3B,ema_lr1e-3,0,gender,0.5111,0.51071,0.49411,,,True
meta-llama/Llama-3.2-3B,ema_lr5e-3,0,gender,0.51006,0.50797,0.51666,,,True
meta-llama/Llama-3.2-3B,ema_lr1e-2,0,gender,0.51757,0.5171,0.51981,,,True
meta-llama/Llama-3.2-3B,ema_lr5e-2,0,gender,0.572,0.5719,0.59237,,,True
meta-llama/Llama-3.2-3B,ema_lr1e-2_wd1e-3,0,gender,0.50458,0.50362,0.50439,,,True
meta-llama/Llama-3.2-3B,ema_d0.99,0,gender,0.49962,0.49815,0.48243,,,True
meta-llama/Llama-3.2-3B,ema_d0.9999,0,gender,0.52178,0.52083,0.52176,,,True
meta-llama/Llama-3.2-3B,mlp_h16,0,gender,0.51151,0.38562,,,,True
meta-llama/Llama-3.2-3B,mlp_h32,0,gender,0.51076,0.40094,,,,True
meta-llama/Llama-3.2-3B,mlp_h64,0,gender,0.51299,0.3822,,,,True
