model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
Qwen/Qwen3-1.7B-Base,ema_lr1e-3,0,age_bin,0.37682,0.37683,,,,True
Qwen/Qwen3-1.7B-Base,ema_lr5e-3,0,age_bin,0.42085,0.41891,,,,True
Qwen/Qwen3-1.7B-Base,ema_lr1e-2,0,age_bin,0.42613,0.39993,,,,True
Qwen/Qwen3-1.7B-Base,ema_lr5e-2,0,age_bin,0.51053,0.51403,,,,True
Qwen/Qwen3-1.7B-Base,ema_lr1e-2_wd1e-3,0,age_bin,0.40602,0.37151,,,,True
Qwen/Qwen3-1.7B-Base,ema_d0.99,0,age_bin,0.42106,0.38267,,,,True
Qwen/Qwen3-1.7B-Base,ema_d0.9999,0,age_bin,0.4294,0.41061,,,,True
Qwen/Qwen3-1.7B-Base,mlp_h16,0,age_bin,0.42209,0.35298,,,,True
Qwen/Qwen3-1.7B-Base,mlp_h32,0,age_bin,0.42501,0.35833,,,,True
Qwen/Qwen3-1.7B-Base,mlp_h64,0,age_bin,0.41416,0.33874,,,,True
Qwen/Qwen3-1.7B-Base,mlp_h128,0,age_bin,0.42261,0.35304,,,,True
Qwen/Qwen3-1.7B-Base,attention,0,age_bin,0.46343,0.43631,,,,True
Qwen/Qwen3-1.7B-Base,shuffled,0,age_bin,0.33996,0.28981,,,,True
Qwen/Qwen3-1.7B-Base,mm,0,age_bin,0.50573,0.51273,,,,True
Qwen/Qwen3-1.7B-Base,ridge_0.01,0,age_bin,0.41839,0.34536,,,,True
Qwen/Qwen3-1.7B-Base,ridge_0.1,0,age_bin,0.41419,0.33882,,,,False
Qwen/Qwen3-1.7B-Base,ridge_1.0,0,age_bin,0.39454,0.30669,,,,False
Qwen/Qwen3-1.7B-Base,ridge_10.0,0,age_bin,0.3604,0.24298,,,,False
Qwen/Qwen3-1.7B-Base,ridge_100.0,0,age_bin,0.33333,0.17952,,,,False
Qwen/Qwen3-1.7B-Base,ema_lr1e-3,0,gender,0.52788,0.52786,0.53763,,,True
Qwen/Qwen3-1.7B-Base,ema_lr5e-3,0,gender,0.5724,0.5689,0.59226,,,True
Qwen/Qwen3-1.7B-Base,ema_lr1e-2,0,gender,0.58989,0.58182,0.61847,,,True
Qwen/Qwen3-1.7B-Base,ema_lr5e-2,0,gender,0.59942,0.58754,0.65197,,,True
Qwen/Qwen3-1.7B-Base,ema_lr1e-2_wd1e-3,0,gender,0.59257,0.58349,0.6232,,,True
Qwen/Qwen3-1.7B-Base,ema_d0.99,0,gender,0.5935,0.57981,0.63284,,,True
Qwen/Qwen3-1.7B-Base,ema_d0.9999,0,gender,0.57903,0.57276,0.6067,,,True
Qwen/Qwen3-1.7B-Base,mlp_h16,0,gender,0.57419,0.52438,,,,True
Qwen/Qwen3-1.7B-Base,mlp_h32,0,gender,0.56797,0.5148,,,,True
Qwen/Qwen3-1.7B-Base,mlp_h64,0,gender,0.598,0.56633,,,,True
Qwen/Qwen3-1.7B-Base,mlp_h128,0,gender,0.57067,0.51866,,,,True
Qwen/Qwen3-1.7B-Base,attention,0,gender,0.59555,0.59533,,,,True
Qwen/Qwen3-1.7B-Base,shuffled,0,gender,0.50826,0.48804,,,,True
Qwen/Qwen3-1.7B-Base,mm,0,gender,0.60198,0.60196,,,,True
Qwen/Qwen3-1.7B-Base,ridge_0.01,0,gender,0.58676,0.54825,,,,True
Qwen/Qwen3-1.7B-Base,ridge_0.1,0,gender,0.58354,0.54247,,,,False
Qwen/Qwen3-1.7B-Base,ridge_1.0,0,gender,0.56026,0.50385,,,,False
Qwen/Qwen3-1.7B-Base,ridge_10.0,0,gender,0.48739,0.3526,,,,False
Qwen/Qwen3-1.7B-Base,ridge_100.0,0,gender,0.5,0.33382,,,,False
Qwen/Qwen3-1.7B-Base,ema_lr1e-3,0,star_sign,0.08043,0.07852,,0.07502,0.08593,True
Qwen/Qwen3-1.7B-Base,ema_lr5e-3,0,star_sign,0.0781,0.07535,,0.07259,0.08419,True
Qwen/Qwen3-1.7B-Base,ema_lr1e-2,0,star_sign,0.07607,0.07194,,0.07138,0.08122,True
Qwen/Qwen3-1.7B-Base,ema_lr5e-2,0,star_sign,0.07885,0.05151,,0.07421,0.08334,True
Qwen/Qwen3-1.7B-Base,ema_lr1e-2_wd1e-3,0,star_sign,0.07825,0.07499,,0.07291,0.08411,True
Qwen/Qwen3-1.7B-Base,ema_d0.99,0,star_sign,0.08271,0.07546,,0.07758,0.08833,True
Qwen/Qwen3-1.7B-Base,ema_d0.9999,0,star_sign,0.07772,0.07465,,0.07244,0.08318,True
Qwen/Qwen3-1.7B-Base,mlp_h16,0,star_sign,0.06327,0.01502,,,,True
Qwen/Qwen3-1.7B-Base,mlp_h32,0,star_sign,0.08359,0.01762,,,,True
Qwen/Qwen3-1.7B-Base,mlp_h64,0,star_sign,0.07905,0.017,,,,True
Qwen/Qwen3-1.7B-Base,mlp_h128,0,star_sign,0.08276,0.01641,,,,True
Qwen/Qwen3-1.7B-Base,attention,0,star_sign,0.07327,0.03427,,,,True
Qwen/Qwen3-1.7B-Base,shuffled,0,star_sign,0.08178,0.07795,,,,True
Qwen/Qwen3-1.7B-Base,mm,0,star_sign,0.07265,0.04831,,,,True
Qwen/Qwen3-1.7B-Base,ridge_0.01,0,star_sign,0.08439,0.02532,,,,True
Qwen/Qwen3-1.7B-Base,ridge_0.1,0,star_sign,0.08411,0.02352,,,,False
Qwen/Qwen3-1.7B-Base,ridge_1.0,0,star_sign,0.08355,0.01843,,,,False
Qwen/Qwen3-1.7B-Base,ridge_10.0,0,star_sign,0.08333,0.01604,,,,False
Qwen/Qwen3-1.7B-Base,ridge_100.0,0,star_sign,0.08333,0.01604,,,,False
Qwen/Qwen3-1.7B-Base,ema_lr1e-3,4,age_bin,0.43684,0.43142,,,,True
Qwen/Qwen3-1.7B-Base,ema_lr5e-3,4,age_bin,0.58774,0.56925,,,,True
Qwen/Qwen3-1.7B-Base,ema_lr1e-2,4,age_bin,0.59981,0.59124,,,,True
Qwen/Qwen3-1.7B-Base,ema_lr5e-2,4,age_bin,0.6198,0.62518,,,,True
Qwen/Qwen3-1.7B-Base,ema_lr1e-2_wd1e-3,4,age_bin,0.61142,0.60492,,,,True
Qwen/Qwen3-1.7B-Base,ema_d0.99,4,age_bin,0.60461,0.60051,,,,True
Qwen/Qwen3-1.7B-Base,ema_d0.9999,4,age_bin,0.59877,0.59316,,,,True
Qwen/Qwen3-1.7B-Base,mlp_h16,4,age_bin,0.63318,0.63553,,,,True
Qwen/Qwen3-1.7B-Base,mlp_h32,4,age_bin,0.63761,0.64197,,,,True
Qwen/Qwen3-1.7B-Base,mlp_h64,4,age_bin,0.6375,0.64253,,,,True
Qwen/Qwen3-1.7B-Base,mlp_h128,4,age_bin,0.63787,0.64581,,,,True
Qwen/Qwen3-1.7B-Base,attention,4,age_bin,0.34927,0.26384,,,,True
Qwen/Qwen3-1.7B-Base,shuffled,4,age_bin,0.3347,0.30612,,,,True
Qwen/Qwen3-1.7B-Base,mm,4,age_bin,0.3331,0.14746,,,,True
Qwen/Qwen3-1.7B-Base,ridge_0.01,4,age_bin,0.62155,0.62297,,,,True
Qwen/Qwen3-1.7B-Base,ridge_0.1,4,age_bin,0.61584,0.61752,,,,False
Qwen/Qwen3-1.7B-Base,ridge_1.0,4,age_bin,0.58247,0.58437,,,,False
Qwen/Qwen3-1.7B-Base,ridge_10.0,4,age_bin,0.45572,0.40906,,,,False
Qwen/Qwen3-1.7B-Base,ridge_100.0,4,age_bin,0.35558,0.23313,,,,False
Qwen/Qwen3-1.7B-Base,ema_lr1e-3,4,gender,0.57817,0.57813,0.5993,,,True
Qwen/Qwen3-1.7B-Base,ema_lr5e-3,4,gender,0.63801,0.6375,0.68317,,,True
Qwen/Qwen3-1.7B-Base,ema_lr1e-2,4,gender,0.65952,0.65911,0.72582,,,True
