model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
Qwen/Qwen3-1.7B-Base,ema_lr1e-3,0,age_bin,0.36788,0.33433,,,,True
Qwen/Qwen3-1.7B-Base,ema_lr5e-3,0,age_bin,0.34598,0.31095,,,,True
Qwen/Qwen3-1.7B-Base,ema_lr1e-2,0,age_bin,0.33784,0.28162,,,,True
Qwen/Qwen3-1.7B-Base,ema_lr5e-2,0,age_bin,0.33333,0.27218,,,,True
Qwen/Qwen3-1.7B-Base,ema_lr1e-2_wd1e-3,0,age_bin,0.33559,0.27693,,,,True
Qwen/Qwen3-1.7B-Base,ema_d0.99,0,age_bin,0.33333,0.27218,,,,True
Qwen/Qwen3-1.7B-Base,ema_d0.9999,0,age_bin,0.33559,0.27693,,,,True
Qwen/Qwen3-1.7B-Base,mlp_h16,0,age_bin,0.33333,0.27218,,,,True
Qwen/Qwen3-1.7B-Base,mlp_h32,0,age_bin,0.33333,0.27218,,,,True
Qwen/Qwen3-1.7B-Base,mlp_h64,0,age_bin,0.33333,0.27218,,,,True
Qwen/Qwen3-1.7B-Base,mlp_h128,0,age_bin,0.33333,0.27218,,,,True
Qwen/Qwen3-1.7B-Base,attention,0,age_bin,0.33333,0.27218,,,,True
Qwen/Qwen3-1.7B-Base,shuffled,0,age_bin,0.33559,0.27693,,,,True
Qwen/Qwen3-1.7B-Base,mm,0,age_bin,0.51514,0.43541,,,,True
Qwen/Qwen3-1.7B-Base,ridge_0.01,0,age_bin,0.33333,0.27218,,,,True
Qwen/Qwen3-1.7B-Base,ridge_0.1,0,age_bin,0.33333,0.27218,,,,False
Qwen/Qwen3-1.7B-Base,ridge_1.0,0,age_bin,0.33333,0.27218,,,,False
Qwen/Qwen3-1.7B-Base,ridge_10.0,0,age_bin,0.33333,0.27218,,,,False
Qwen/Qwen3-1.7B-Base,ridge_100.0,0,age_bin,0.33333,0.27218,,,,False
