model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
google/gemma-3-1b-pt,ema_lr1e-3,0,age_bin,0.4146,0.19539,,,,True
google/gemma-3-1b-pt,ema_lr5e-3,0,age_bin,0.5798,0.24467,,,,True
google/gemma-3-1b-pt,ema_lr1e-2,0,age_bin,0.848,0.30592,,,,True
google/gemma-3-1b-pt,ema_lr5e-2,0,age_bin,1.0,1.0,,,,True
google/gemma-3-1b-pt,ema_lr1e-2_wd1e-3,0,age_bin,0.8396,0.30427,,,,True
google/gemma-3-1b-pt,ema_d0.99,0,age_bin,0.8712,0.31039,,,,True
google/gemma-3-1b-pt,ema_d0.9999,0,age_bin,0.8336,0.30308,,,,True
google/gemma-3-1b-pt,mlp_h16,0,age_bin,1.0,1.0,,,,True
google/gemma-3-1b-pt,mlp_h32,0,age_bin,1.0,1.0,,,,True
google/gemma-3-1b-pt,mlp_h64,0,age_bin,1.0,1.0,,,,True
google/gemma-3-1b-pt,mlp_h128,0,age_bin,1.0,1.0,,,,True
google/gemma-3-1b-pt,attention,0,age_bin,1.0,1.0,,,,True
google/gemma-3-1b-pt,shuffled,0,age_bin,0.8374,0.30384,,,,True
google/gemma-3-1b-pt,mm,0,age_bin,1.0,1.0,,,,True
google/gemma-3-1b-pt,ridge_0.01,0,age_bin,1.0,1.0,,,,True
google/gemma-3-1b-pt,ridge_0.1,0,age_bin,1.0,1.0,,,,False
google/gemma-3-1b-pt,ridge_1.0,0,age_bin,1.0,1.0,,,,False
google/gemma-3-1b-pt,ridge_10.0,0,age_bin,1.0,1.0,,,,False
google/gemma-3-1b-pt,ridge_100.0,0,age_bin,1.0,1.0,,,,False
google/gemma-3-1b-pt,ema_lr1e-3,0,gender,0.49083,0.49074,0.48677,,,True
google/gemma-3-1b-pt,ema_lr5e-3,0,gender,0.51091,0.51077,0.50823,,,True
google/gemma-3-1b-pt,ema_lr1e-2,0,gender,0.51542,0.51541,0.51886,,,True
google/gemma-3-1b-pt,ema_lr5e-2,0,gender,0.51646,0.51628,0.51811,,,True
google/gemma-3-1b-pt,ema_lr1e-2_wd1e-3,0,gender,0.48869,0.48867,0.49174,,,True
google/gemma-3-1b-pt,ema_d0.99,0,gender,0.50987,0.50976,0.51043,,,True
google/gemma-3-1b-pt,ema_d0.9999,0,gender,0.49831,0.49818,0.50048,,,True
google/gemma-3-1b-pt,mlp_h16,0,gender,0.55253,0.54433,,,,True
google/gemma-3-1b-pt,mlp_h32,0,gender,0.55449,0.54898,,,,True
google/gemma-3-1b-pt,mlp_h64,0,gender,0.56046,0.54719,,,,True
google/gemma-3-1b-pt,mlp_h128,0,gender,0.55456,0.55356,,,,True
google/gemma-3-1b-pt,attention,0,gender,0.52115,0.51983,,,,True
google/gemma-3-1b-pt,shuffled,0,gender,0.48114,0.48079,,,,True
google/gemma-3-1b-pt,mm,0,gender,0.5322,0.52974,,,,True
google/gemma-3-1b-pt,ridge_0.01,0,gender,0.55091,0.53147,,,,False
google/gemma-3-1b-pt,ridge_0.1,0,gender,0.55143,0.52573,,,,True
google/gemma-3-1b-pt,ridge_1.0,0,gender,0.54032,0.48651,,,,False
google/gemma-3-1b-pt,ridge_10.0,0,gender,0.50281,0.3501,,,,False
google/gemma-3-1b-pt,ridge_100.0,0,gender,0.5,0.33854,,,,False
google/gemma-3-1b-pt,ema_lr1e-3,0,star_sign,0.1022,0.01545,,0.094,0.1106,True
