model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
meta-llama/Llama-3.2-3B,ema_lr1e-3,0,age_bin,0.4672,0.21229,,,,True
meta-llama/Llama-3.2-3B,ema_lr5e-3,0,age_bin,0.8686,0.30989,,,,True
meta-llama/Llama-3.2-3B,ema_lr1e-2,0,age_bin,0.9946,0.33243,,,,True
meta-llama/Llama-3.2-3B,ema_lr5e-2,0,age_bin,1.0,1.0,,,,True
meta-llama/Llama-3.2-3B,ema_lr1e-2_wd1e-3,0,age_bin,0.9948,0.33246,,,,True
meta-llama/Llama-3.2-3B,ema_d0.99,0,age_bin,0.9988,0.33313,,,,True
meta-llama/Llama-3.2-3B,ema_d0.9999,0,age_bin,0.9908,0.33179,,,,True
meta-llama/Llama-3.2-3B,mlp_h16,0,age_bin,1.0,1.0,,,,True
meta-llama/Llama-3.2-3B,mlp_h32,0,age_bin,1.0,1.0,,,,True
meta-llama/Llama-3.2-3B,mlp_h64,0,age_bin,1.0,1.0,,,,True
meta-llama/Llama-3.2-3B,mlp_h128,0,age_bin,1.0,1.0,,,,True
meta-llama/Llama-3.2-3B,attention,0,age_bin,1.0,1.0,,,,True
meta-llama/Llama-3.2-3B,shuffled,0,age_bin,0.9892,0.33152,,,,True
meta-llama/Llama-3.2-3B,mm,0,age_bin,0.9992,0.3332,,,,True
meta-llama/Llama-3.2-3B,ridge_0.01,0,age_bin,1.0,1.0,,,,True
meta-llama/Llama-3.2-3B,ridge_0.1,0,age_bin,1.0,1.0,,,,False
meta-llama/Llama-3.2-3B,ridge_1.0,0,age_bin,1.0,1.0,,,,False
meta-llama/Llama-3.2-3B,ridge_10.0,0,age_bin,1.0,1.0,,,,False
meta-llama/Llama-3.2-3B,ridge_100.0,0,age_bin,1.0,1.0,,,,False
meta-llama/Llama-3.2-3B,ema_lr1e-3,0,gender,0.50537,0.50519,0.51139,,,True
meta-llama/Llama-3.2-3B,ema_lr5e-3,0,gender,0.5202,0.52013,0.51295,,,True
meta-llama/Llama-3.2-3B,ema_lr1e-2,0,gender,0.51192,0.51189,0.51111,,,True
meta-llama/Llama-3.2-3B,ema_lr5e-2,0,gender,0.53845,0.53785,0.54896,,,True
meta-llama/Llama-3.2-3B,ema_lr1e-2_wd1e-3,0,gender,0.51631,0.51631,0.51906,,,True
meta-llama/Llama-3.2-3B,ema_d0.99,0,gender,0.50773,0.50769,0.51605,,,True
meta-llama/Llama-3.2-3B,ema_d0.9999,0,gender,0.50889,0.50889,0.50763,,,True
meta-llama/Llama-3.2-3B,mlp_h16,0,gender,0.5342,0.52104,,,,True
meta-llama/Llama-3.2-3B,mlp_h32,0,gender,0.51876,0.45295,,,,True
meta-llama/Llama-3.2-3B,mlp_h64,0,gender,0.50724,0.38814,,,,True
meta-llama/Llama-3.2-3B,mlp_h128,0,gender,0.49953,0.35109,,,,True
meta-llama/Llama-3.2-3B,attention,0,gender,0.50367,0.35325,,,,True
meta-llama/Llama-3.2-3B,shuffled,0,gender,0.49563,0.49555,,,,True
meta-llama/Llama-3.2-3B,mm,0,gender,0.5334,0.52152,,,,True
meta-llama/Llama-3.2-3B,ridge_0.01,0,gender,0.54691,0.53487,,,,False
meta-llama/Llama-3.2-3B,ridge_0.1,0,gender,0.54923,0.53234,,,,True
meta-llama/Llama-3.2-3B,ridge_1.0,0,gender,0.55158,0.51408,,,,False
meta-llama/Llama-3.2-3B,ridge_10.0,0,gender,0.51495,0.39002,,,,False
meta-llama/Llama-3.2-3B,ridge_100.0,0,gender,0.5,0.33854,,,,False
meta-llama/Llama-3.2-3B,ema_lr1e-3,0,star_sign,0.1394,0.02039,,0.1304,0.149,True
meta-llama/Llama-3.2-3B,ema_lr5e-3,0,star_sign,0.6194,0.06375,,0.6064,0.6324,True
meta-llama/Llama-3.2-3B,ema_lr1e-2,0,star_sign,0.959,0.08159,,0.953,0.9648,True
meta-llama/Llama-3.2-3B,ema_lr5e-2,0,star_sign,1.0,1.0,,1.0,1.0,True
meta-llama/Llama-3.2-3B,ema_lr1e-2_wd1e-3,0,star_sign,0.9654,0.08187,,0.96,0.9702,True
meta-llama/Llama-3.2-3B,ema_d0.99,0,star_sign,0.988,0.08283,,0.9848,0.991,True
meta-llama/Llama-3.2-3B,ema_d0.9999,0,star_sign,0.952,0.08128,,0.946,0.958,True
meta-llama/Llama-3.2-3B,mlp_h16,0,star_sign,1.0,1.0,,,,True
meta-llama/Llama-3.2-3B,mlp_h32,0,star_sign,1.0,1.0,,,,True
meta-llama/Llama-3.2-3B,mlp_h64,0,star_sign,1.0,1.0,,,,True
meta-llama/Llama-3.2-3B,mlp_h128,0,star_sign,1.0,1.0,,,,True
meta-llama/Llama-3.2-3B,attention,0,star_sign,1.0,1.0,,,,True
meta-llama/Llama-3.2-3B,shuffled,0,star_sign,0.9638,0.0818,,,,True
meta-llama/Llama-3.2-3B,mm,0,star_sign,0.9992,0.3332,,,,True
meta-llama/Llama-3.2-3B,ridge_0.01,0,star_sign,1.0,1.0,,,,True
meta-llama/Llama-3.2-3B,ridge_0.1,0,star_sign,1.0,1.0,,,,False
meta-llama/Llama-3.2-3B,ridge_1.0,0,star_sign,1.0,1.0,,,,False
meta-llama/Llama-3.2-3B,ridge_10.0,0,star_sign,1.0,1.0,,,,False
meta-llama/Llama-3.2-3B,ridge_100.0,0,star_sign,1.0,1.0,,,,False
meta-llama/Llama-3.2-3B,ema_lr1e-3,4,age_bin,0.412,0.19452,,,,True
meta-llama/Llama-3.2-3B,ema_lr5e-3,4,age_bin,0.7542,0.28663,,,,True
meta-llama/Llama-3.2-3B,ema_lr1e-2,4,age_bin,0.9522,0.32517,,,,True
meta-llama/Llama-3.2-3B,ema_lr5e-2,4,age_bin,1.0,1.0,,,,True
meta-llama/Llama-3.2-3B,ema_lr1e-2_wd1e-3,4,age_bin,0.9516,0.32507,,,,True
meta-llama/Llama-3.2-3B,ema_d0.99,4,age_bin,0.984,0.33065,,,,True
