model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
Qwen/Qwen3-0.6B-Base,ema_lr1e-3,0,age_bin,0.3986,0.19,,,,True
Qwen/Qwen3-0.6B-Base,ema_lr5e-3,0,age_bin,0.6196,0.25504,,,,True
Qwen/Qwen3-0.6B-Base,ema_lr1e-2,0,age_bin,0.8568,0.30763,,,,True
Qwen/Qwen3-0.6B-Base,ema_lr5e-2,0,age_bin,1.0,1.0,,,,True
Qwen/Qwen3-0.6B-Base,ema_lr1e-2_wd1e-3,0,age_bin,0.8402,0.30439,,,,True
Qwen/Qwen3-0.6B-Base,ema_d0.99,0,age_bin,0.8666,0.30951,,,,True
Qwen/Qwen3-0.6B-Base,ema_d0.9999,0,age_bin,0.8302,0.30241,,,,True
Qwen/Qwen3-0.6B-Base,mlp_h16,0,age_bin,1.0,1.0,,,,True
Qwen/Qwen3-0.6B-Base,mlp_h32,0,age_bin,1.0,1.0,,,,True
Qwen/Qwen3-0.6B-Base,mlp_h64,0,age_bin,1.0,1.0,,,,True
Qwen/Qwen3-0.6B-Base,mlp_h128,0,age_bin,1.0,1.0,,,,True
Qwen/Qwen3-0.6B-Base,attention,0,age_bin,1.0,1.0,,,,True
Qwen/Qwen3-0.6B-Base,shuffled,0,age_bin,0.8314,0.30265,,,,True
Qwen/Qwen3-0.6B-Base,mm,0,age_bin,1.0,1.0,,,,True
Qwen/Qwen3-0.6B-Base,ridge_0.01,0,age_bin,1.0,1.0,,,,True
Qwen/Qwen3-0.6B-Base,ridge_0.1,0,age_bin,1.0,1.0,,,,False
Qwen/Qwen3-0.6B-Base,ridge_1.0,0,age_bin,1.0,1.0,,,,False
Qwen/Qwen3-0.6B-Base,ridge_10.0,0,age_bin,1.0,1.0,,,,False
Qwen/Qwen3-0.6B-Base,ridge_100.0,0,age_bin,1.0,1.0,,,,False
Qwen/Qwen3-0.6B-Base,ema_lr1e-3,0,gender,0.50039,0.50032,0.49683,,,True
Qwen/Qwen3-0.6B-Base,ema_lr5e-3,0,gender,0.49001,0.49,0.49082,,,True
Qwen/Qwen3-0.6B-Base,ema_lr1e-2,0,gender,0.49285,0.49284,0.48811,,,True
Qwen/Qwen3-0.6B-Base,ema_lr5e-2,0,gender,0.51342,0.51341,0.5145,,,True
Qwen/Qwen3-0.6B-Base,ema_lr1e-2_wd1e-3,0,gender,0.50181,0.5018,0.49466,,,True
Qwen/Qwen3-0.6B-Base,ema_d0.99,0,gender,0.49531,0.49517,0.49793,,,True
Qwen/Qwen3-0.6B-Base,ema_d0.9999,0,gender,0.50895,0.5089,0.51434,,,True
Qwen/Qwen3-0.6B-Base,mlp_h16,0,gender,0.50597,0.35976,,,,True
Qwen/Qwen3-0.6B-Base,mlp_h32,0,gender,0.50229,0.34496,,,,True
Qwen/Qwen3-0.6B-Base,mlp_h64,0,gender,0.50318,0.34923,,,,True
Qwen/Qwen3-0.6B-Base,mlp_h128,0,gender,0.50354,0.34836,,,,True
Qwen/Qwen3-0.6B-Base,attention,0,gender,0.50025,0.34785,,,,True
Qwen/Qwen3-0.6B-Base,shuffled,0,gender,0.51832,0.51828,,,,True
Qwen/Qwen3-0.6B-Base,mm,0,gender,0.53292,0.53025,,,,True
Qwen/Qwen3-0.6B-Base,ridge_0.01,0,gender,0.54683,0.52468,,,,False
Qwen/Qwen3-0.6B-Base,ridge_0.1,0,gender,0.54834,0.51947,,,,True
Qwen/Qwen3-0.6B-Base,ridge_1.0,0,gender,0.53088,0.46477,,,,False
Qwen/Qwen3-0.6B-Base,ridge_10.0,0,gender,0.50105,0.3419,,,,False
Qwen/Qwen3-0.6B-Base,ridge_100.0,0,gender,0.5,0.33854,,,,False
Qwen/Qwen3-0.6B-Base,ema_lr1e-3,0,star_sign,0.1068,0.01608,,0.0988,0.1158,True
Qwen/Qwen3-0.6B-Base,ema_lr5e-3,0,star_sign,0.2438,0.03267,,0.2322,0.2552,True
Qwen/Qwen3-0.6B-Base,ema_lr1e-2,0,star_sign,0.537,0.05823,,0.523,0.55021,True
Qwen/Qwen3-0.6B-Base,ema_lr5e-2,0,star_sign,0.9998,0.49995,,0.9994,1.0,True
Qwen/Qwen3-0.6B-Base,ema_lr1e-2_wd1e-3,0,star_sign,0.5696,0.06048,,0.55619,0.5846,True
Qwen/Qwen3-0.6B-Base,ema_d0.99,0,star_sign,0.614,0.0634,,0.6006,0.628,True
Qwen/Qwen3-0.6B-Base,ema_d0.9999,0,star_sign,0.5504,0.05917,,0.53639,0.5644,True
Qwen/Qwen3-0.6B-Base,mlp_h16,0,star_sign,1.0,1.0,,,,True
Qwen/Qwen3-0.6B-Base,mlp_h32,0,star_sign,1.0,1.0,,,,True
Qwen/Qwen3-0.6B-Base,mlp_h64,0,star_sign,1.0,1.0,,,,True
Qwen/Qwen3-0.6B-Base,mlp_h128,0,star_sign,1.0,1.0,,,,True
Qwen/Qwen3-0.6B-Base,attention,0,star_sign,1.0,1.0,,,,True
Qwen/Qwen3-0.6B-Base,shuffled,0,star_sign,0.5642,0.06012,,,,True
Qwen/Qwen3-0.6B-Base,mm,0,star_sign,1.0,1.0,,,,True
Qwen/Qwen3-0.6B-Base,ridge_0.01,0,star_sign,1.0,1.0,,,,True
Qwen/Qwen3-0.6B-Base,ridge_0.1,0,star_sign,1.0,1.0,,,,False
Qwen/Qwen3-0.6B-Base,ridge_1.0,0,star_sign,1.0,1.0,,,,False
